context,strategy,share,before_viable,after_viable,new_viable,before_si,after_si,before_sj,after_sj,before_t,after_t,switches,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,total_public_usd,additional_discounted_mwh,new_support_usd,switch_support_usd,same_support_usd,plotted_y,plotted_x
cap,General,0.0,258,258,0,123,123,135,135,0,0,0,30615326.90499036,30615326.90499036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,New technology,0.0,258,258,0,123,123,135,135,0,0,0,30615326.90499036,30615326.90499036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,Matched gap,0.0,258,258,0,123,123,135,135,0,0,0,30615326.90499036,30615326.90499036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,General,0.001,258,258,0,123,124,135,134,0,0,1,30615326.90499036,30736053.84337278,120726.93838242396,120873.51494508056,6043.6757472540285,126917.1906923346,1886.4721146730265,0.0,558.7380237506496,120314.7769213299,0.0,0.1269171906923346
cap,New technology,0.001,258,258,0,123,122,135,136,0,0,1,30615326.90499036,30667492.72076214,52165.815771781,52360.0,2618.0,54978.0,-1894.991134444936,0.0,385.0,51975.0,0.0,0.054978
cap,Matched gap,0.001,258,258,0,123,124,135,134,0,0,1,30615326.90499036,30615327.90499036,1.0,147.57656265742844,7.378828132871423,154.95539079029987,1886.4721146730265,0.0,147.57656265742844,0.0,0.0,0.00015495539079029988
cap,General,0.002,258,259,1,123,124,135,135,0,0,1,30615326.90499036,30857289.831207585,241962.92621723135,242517.02989016112,12125.851494508055,254642.8813846692,16907.656527074163,770.0,1117.4760475012993,240629.5538426598,1.0,0.2546428813846692
cap,New technology,0.002,258,259,1,123,119,135,140,0,0,4,30615326.90499036,30720652.68661566,105325.78162530017,107800.0,5390.0,113190.0,7408.971015832583,770.0,3080.0,103950.0,1.0,0.11319
cap,Matched gap,0.002,258,259,1,123,124,135,135,0,0,1,30615326.90499036,30615328.90499036,2.0,556.1036729288453,27.805183646442263,583.9088565752876,16907.656527074163,408.52711027141686,147.57656265742844,0.0,1.0,0.0005839088565752875
cap,General,0.003,258,259,1,123,125,135,134,0,0,2,30615326.90499036,30978624.6045479,363297.6995575466,364296.7589064936,18214.83794532468,382511.5968518183,18786.66916391317,1155.0,3352.428142503898,359789.3307639897,1.0,0.38251159685181835
cap,New technology,0.003,258,259,1,123,119,135,140,0,0,4,30615326.90499036,30774552.68661566,159225.78162530015,161700.0,8085.0,169785.0,7408.971015832583,1155.0,4620.0,155925.0,1.0,0.169785
cap,Matched gap,0.003,258,259,1,123,125,135,134,0,0,2,30615326.90499036,30615329.90499036,3.0,1002.0593489469892,50.10296744734947,1052.1623163943389,18786.66916391317,408.52711027141686,593.5322386755724,0.0,1.0,0.0010521623163943388
cap,General,0.004,258,260,2,123,126,135,134,0,0,3,30615326.90499036,31100533.917972382,485207.0129820276,487963.9639703274,24398.198198516373,512362.1621688438,35664.23099182672,3080.0,6704.856285007796,478179.1076853196,2.0,0.5123621621688438
cap,New technology,0.004,258,260,2,123,118,135,142,0,0,5,30615326.90499036,30829104.43986819,213777.534877831,218680.0,10934.0,229614.0,20489.50090856432,3080.0,7700.0,207900.0,2.0,0.229614
cap,Matched gap,0.004,258,260,2,123,126,135,134,0,0,3,30615326.90499036,30615331.90499036,5.0,2761.950988300477,138.09754941502388,2900.0485377155014,35664.23099182672,1621.132598717215,1140.8183895832626,0.0,2.0,0.0029000485377155016
cap,General,0.005,258,262,4,123,127,135,135,0,0,4,30615326.90499036,31222830.949020825,607504.0440304736,614673.6450816627,30733.68225408313,645407.3273357458,67506.79644930986,7700.0,11174.760475012994,595798.8846066496,4.0,0.6454073273357458
cap,New technology,0.005,258,262,4,123,117,135,145,0,0,6,30615326.90499036,30884242.509968262,268915.6049779119,279125.0,13956.25,293081.25,48529.43631264272,7700.0,11550.0,259875.0,4.0,0.29308125
cap,Matched gap,0.005,258,262,4,123,127,135,135,0,0,4,30615326.90499036,30615334.90499036,8.0,7177.601051187584,358.88005255937924,7536.4811037469635,67506.79644930986,5259.748196322315,1917.8528548652685,0.0,4.0,0.0075364811037469635
cap,General,0.006,258,262,4,123,128,135,134,0,0,5,30615326.90499036,31345856.094163537,730529.1891731811,738650.8022404988,36932.540112024944,775583.3423525238,69373.13267764606,9240.0,16762.14071251949,712648.6615279794,4.0,0.7755833423525238
cap,New technology,0.006,258,262,4,123,114,135,148,0,0,9,30615326.90499036,30940733.574456736,325406.6694663823,341880.0,17094.0,358974.0,42702.4283386361,9240.0,20790.0,311850.0,4.0,0.358974
cap,Matched gap,0.006,258,262,4,123,128,135,134,0,0,5,30615326.90499036,30615335.90499036,9.0,8130.613067317326,406.5306533658663,8537.143720683192,69373.13267764606,5259.748196322315,2870.8648709950103,0.0,4.0,0.008537143720683192
cap,General,0.007,258,262,4,123,128,135,134,0,0,5,30615326.90499036,31468964.56120362,853637.6562132653,861759.2692805822,43087.96346402911,904847.2327446112,69373.13267764606,10780.0,19555.83083127274,831423.4384493093,4.0,0.9048472327446112
cap,New technology,0.007,258,262,4,123,114,135,148,0,0,9,30615326.90499036,30997713.574456736,382386.6694663823,398860.0,19943.0,418803.0,42702.4283386361,10780.0,24255.0,363825.0,4.0,0.418803
cap,Matched gap,0.007,258,262,4,123,128,135,134,0,0,5,30615326.90499036,30615335.90499036,9.0,8130.613067317326,406.5306533658663,8537.143720683192,69373.13267764606,5259.748196322315,2870.8648709950103,0.0,4.0,0.008537143720683192
cap,General,0.008,258,262,4,123,129,135,133,0,0,6,30615326.90499036,31592163.864819843,976836.9598294848,986257.6405106704,49312.88202553352,1035570.522536204,71230.79251603878,12320.0,26819.42514003118,947118.2153706392,4.0,1.035570522536204
cap,New technology,0.008,258,262,4,123,114,135,148,0,0,9,30615326.90499036,31054693.574456736,439366.6694663823,455840.0,22792.0,478632.0,42702.4283386361,12320.0,27720.0,415800.0,4.0,0.478632
cap,Matched gap,0.008,258,262,4,123,129,135,133,0,0,6,30615326.90499036,30615336.90499036,10.0,9430.680681187056,471.5340340593528,9902.21471524641,71230.79251603878,5259.748196322315,4170.932484864741,0.0,4.0,0.00990221471524641
cap,General,0.009,258,262,4,123,129,135,133,0,0,6,30615326.90499036,31715446.069883674,1100119.1648933168,1109539.8455745042,55476.992278725214,1165016.8378532296,71230.79251603878,13860.000000000002,30171.853282535085,1065507.9922919692,4.0,1.1650168378532295
cap,New technology,0.009,258,262,4,123,112,135,150,0,0,11,30615326.90499036,31111839.53777042,496512.6327800623,519750.0000000001,25987.500000000007,545737.5000000001,38753.05436399918,13860.000000000002,38115.00000000001,467775.0000000001,4.0,0.5457375000000001
cap,Matched gap,0.009,258,262,4,123,129,135,133,0,0,6,30615326.90499036,30615336.90499036,10.0,9430.680681187056,471.5340340593528,9902.21471524641,71230.79251603878,5259.748196322315,4170.932484864741,0.0,4.0,0.00990221471524641
cap,General,0.01,258,262,4,123,129,135,133,0,0,6,30615326.90499036,31838728.27494751,1223401.369957151,1232822.0506383383,61641.10253191692,1294463.1531702552,71230.79251603878,15400.0,33524.281425038986,1183897.7692132993,4.0,1.2944631531702553
cap,New technology,0.01,258,262,4,123,110,135,152,0,0,13,30615326.90499036,31170215.6302164,554888.7252260477,585200.0,29260.0,614460.0,34795.9336176699,15400.0,50050.0,519750.0,4.0,0.61446
cap,Matched gap,0.01,258,262,4,123,129,135,133,0,0,6,30615326.90499036,30615336.90499036,10.0,9430.680681187056,471.5340340593528,9902.21471524641,71230.79251603878,5259.748196322315,4170.932484864741,0.0,4.0,0.00990221471524641
cap,General,0.011,258,262,4,123,129,135,133,0,0,6,30615326.90499036,31962010.480011344,1346683.575020986,1356104.2557021717,67805.21278510858,1423909.4684872804,71230.79251603878,16940.0,36876.70956754287,1302287.5461346288,4.0,1.4239094684872804
cap,New technology,0.011,258,262,4,123,107,135,155,0,0,16,30615326.90499036,31229176.41633292,613849.5113425662,656425.0,32821.25,689246.25,28818.918684364475,16940.0,67760.0,571725.0,4.0,0.68924625
cap,Matched gap,0.011,258,262,4,123,129,135,133,0,0,6,30615326.90499036,30615336.90499036,10.0,9430.680681187056,471.5340340593528,9902.21471524641,71230.79251603878,5259.748196322315,4170.932484864741,0.0,4.0,0.00990221471524641
cap,General,0.012,258,263,5,123,131,135,132,0,0,8,30615326.90499036,32085610.530388813,1470283.6253984573,1488176.1733360211,74408.80866680107,1562584.9820028222,89830.64148226622,23100.0,53638.85028006237,1411437.3230559588,5.0,1.5625849820028221
cap,New technology,0.012,258,263,5,123,105,135,158,0,0,18,30615326.90499036,31289284.925878774,673958.0208884163,729960.0,36498.0,766458.0,39734.35595568972,23100.0,83160.0,623700.0,5.0,0.766458
cap,Matched gap,0.012,258,263,5,123,131,135,132,0,0,8,30615326.90499036,30615339.90499036,13.0,17905.547937563126,895.2773968781563,18800.825334441284,89830.64148226622,9757.749462753289,8147.798474809842,0.0,5.0,0.018800825334441284
cap,General,0.013,258,263,5,123,131,135,132,0,0,8,30615326.90499036,32209625.21150015,1594298.3065097933,1612190.8544473564,80609.54272236783,1692800.3971697243,89830.64148226622,25025.0,58108.75447006757,1529057.0999772889,5.0,1.6928003971697243
